Year,Entity,Code,GDP per Capita,Population,"Government expenditure on education, total (% of GDP)",Government expenditure on primary education as % of GDP (%),Annual Working Hours,Consumer Price Index,Government Expenditure,Foreign Direct Investment,Unemployment rate,Government health expenditure,Life Expectancy,Government revenues,Age dependency ratio,Research and development spending,Taxes on goods and services (as a share of GDP),"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)",Human Development Index,Gender Development Index,Productivity
2001,China,CHN,4540.0283,1272739584.0,2.126714477956253,,2103.5151,80.80069044932834,0.1904987018679434,0.58388710821559,4.17269872871408,1.0493372849218399,71.74582413884882,8.75653503671726,43.61987086771662,1.0155388993752001,8.850572,3.5420403,0.593,0. 907,3. 775427
2002,China,CHN,4940.1445,1280926080.0,2.2245899265208418,,2118.2014,81.03317580840775,0.1908853065390743,0.46958114685186003,4.503620454322,1.18718834200146,71.98468705488537,9.15193462573872,42.42668234738705,1.09560086621892,9. 157096,3.8903232,0.604,0. 914,4. 0724883
2003,China,CHN,5365.0444,1288873344.0,2.322017857142852,,2138.0823,83.93690957671174,0.1858141094418565,0.4784839483606,4.5102358434553995,1.27190892450538,72.36391376550546,9.48921413628132,40.645193592228814,1.1745818884157802,9. 471609,3.4707358,0.615,0.92,4.3798833
2004,China,CHN,5952.99,1296816768.0,2.41835428058783,,2167.896,85.46143476404248,0.1874649014235474,0.5083478506589401,4.50601004355269,1.33128039532856,72.77105025821254,16.90574148706266,38.855410811734444,1.26458854601056,9.513149,3. 6751125,0.626,0.927,4. 7892036
2005,China,CHN,6588.563,1304887552.0,2.514341421736152,,2192.3545,87.0037442741429,0.1905193772466187,0.72048822879508,4.44277396643721,1.37615312190071,73.0099131742491,25.3405740804374,37.911043051488456,1.33600295567943,12.315503,3. 9640415,0.638,0.933,5. 240103
2006,China,CHN,7144.8,1313086592.0,2.6214440041866003,,2183.0583,89.93953610485799,0.191176256446214,0.72176910764515,4.36791693958929,1.40777481750704,73.3856511621083,29.637643121242203,37.26526020334272,1.36439576840349,10.808319,4. 0141163,0.65,0.939,5. 70952
2007,China,CHN,7817.45,1321513216.0,3.07700716985256,,2152.6501,94.77955171353938,0.1998810890703557,0.82292280143541,4.53362866434538,1.5706749033253702,73.66370491266302,31.01107750204181,36.89318019128894,1.40417453140774,11. 40929,4. 423239,0.663,0.942,6.339555
2008,China,CHN,8281.87,1330167168.0,3.598242916120792,,2131.5928,96.7612024607438,0.2207290324271774,1.09229660022924,4.68304087519104,1.94829108365925,73.85802931695673,26.675890121647523,36.59217495862792,1.5434860984168999,12.13065,4. 713137,0.672,0.945,6.7905946
2009,China,CHN,8938.087,1339125632.0,3.719875754727724,,2138.8518,98.17412194906086,0.2294655631469384,0.8990035028621199,4.57422652769637,2.15586984781349,74.24772219585944,27.030429138060107,36.490226334033785,1.6723929297806601,12.572677,4.4578295,0.682,0.948,7.314836
2010,China,CHN,10116.533,1348191360.0,3.6233805429767534,,2172.7102,102.57288054653654,0.2358171114384463,0.84652451853156,4.541099274887659,2.24536016971154,74.44472043876549,27.243034869458548,36.59919979147489,1.7269446029586002,13.033634,4. 3287497,0. 691,0.952,8.160233
2011,China,CHN,10874.707,1357095424.0,3.668094004542601,,2178.809,106.56306783734026,,0.6958660883838,4.56200189226355,2.42876065862121,74.74370652588544,27.79533905729805,36.78281947694107,1.83736309863482,13.192892,4. 7147803,0. 7,0.956,8. 755135
2012,China,CHN,11501.821,1366560768.0,3.806330226608181,,2184.293,109.3602269126619,,0.77328423120845,4.58207444180139,2.61892091064574,75.03571516748366,28.31626232537393,37.14061369446575,1.95329441201,13. 073874,4.725958,0.709,0.96,9.246322
2013,China,CHN,11899.735,1376100352.0,3.624174542258418,,2178.325,111.75208325176492,,0.95912211260216,4.60139238421376,2.75717936777888,75.20480362830271,28.522591872819653,37.8680676034835,1.9954512532373399,12.865465,4.8560376,0. 717,0.963,9. 604797
2014,China,CHN,12411.439,1385189632.0,3.634511317355886,,2178.6626,113.61279689219448,,1.34502747597224,4.618069201686939,2.90188495100768,75.47936865609654,28.73598212721219,38.76140201922363,2.02571770334928,12.531686,4. 952271,0. 725,0. 967,10. 032687
2015,China,CHN,12784.436,1393715456.0,3.763262428680599,,2170.4592,115.59117906894552,,1.6955655413878001,4.5410238141751105,2.92535702566245,75.73300134732511,28.594506480611248,39.38460504750412,2.06427139575376,12. 018815,5.16565,0.733,0. 971,10.392884
2016,China,CHN,13147.852,1401889664.0,3.7013392557506393,,2167.2278,117.61041837636375,,1.62064330592458,4.44624515921443,2.86466373200156,75.9587242564667,28.02677334055465,40.12392443049027,2.08884487072559,11.4260235,5.2200212,0. 74,0. 975,10. 742945
2017,China,CHN,13854.229,1410275968.0,3.5951110574313416,,2168.919,119.82250334053116,,1.1365753555934899,4.33229948326648,2.87728543922664,76.06583059173853,27.91772464437612,41.04571237087103,2.10959900794521,11. 220127,5. 3178024,0. 747,0. 981,11. 3577385
2018,China,CHN,13819.324,1417069440.0,3.5100142686261075,,2168.919,123.41508501765084,,1.02267214079851,4.5299751081795,2.95586262330901,76.34655818090559,27.79429302663926,42.2334846860434,2.17921184320265,11. 119577,5.3720307,0. 755,0. 981,11.380233
2019,China,CHN,14128.812,1421864064.0,3.51933028238209,,2168.919,126.59139826556404,,1.01888431349853,4.8605460313082505,,76.65949915906904,26.32985010433757,43.23878844382113,2.30813250808421,10.510474,4.813959,0.762,0.984,11. 692401
2020,China,CHN,,,3.4285400890619355,,,128.18313536614505,,0.95946369605561,4.87546569218924,,76.7770716626235,24.75076222183283,43.45435931229923,2.37399806856591,9.7524,4. 6777844,0. 764,0. 984,
2021,China,CHN,,,3.296806273496237,,,,,0.76815320626984,,,76.87567264459508,,,,9.64492,4.8938923,0.768,0.984,
